Mon Sep 30 8:05:06 AM 2024 , anytime  , 0.3.9  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , backports  , 1.5.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , base64enc  , 0.1-3  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , BH  , 1.75.0-0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , boot  , 1.3-31  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , bslib  , 0.8.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , cachem  , 1.1.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , callr  , 3.7.6  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , cli  , 3.6.3  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , codetools  , 0.2-20  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , commonmark  , 1.9.1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , crayon  , 1.5.3  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , crosstalk  , 1.2.1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , cyclocomp  , 1.1.1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , desc  , 1.4.3  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , digest  , 0.6.37  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , DT  , 0.33  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , evaluate  , 1.0.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , fastmap  , 1.2.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , fontawesome  , 0.5.2  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , foreign  , 0.8-87  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , fs  , 1.6.4  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , glue  , 1.7.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , highr  , 0.11  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , htmltools  , 0.5.8.1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , htmlwidgets  , 1.6.4  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , httpuv  , 1.6.15  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , jquerylib  , 0.1.4  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , jsonlite  , 1.8.9  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , knitr  , 1.48  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , later  , 1.3.2  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , lazyeval  , 0.2.2  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , lifecycle  , 1.0.4  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , lintr  , 3.1.2  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , magrittr  , 2.0.3  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , MASS  , 7.3-61  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , memoise  , 2.0.1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , mime  , 0.12  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , nlme  , 3.1-166  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , processx  , 3.8.4  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:05:06 AM 2024 , promises  , 1.3.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
